"","Treatment","SamplingSeason","meanRt","sdR","meanIDt.npm2","sdID","meanS","sdS","TreatA","Week","meanMBM","ShellSpecies","meanTShell"
"1","MR","Fall2016",28,5.29150262212918,2034.37994467348,1951.35817359565,0.836918142945186,0.0481167382105485,NA,NA,NA,NA,NA
"2","NM","Fall2016",26.5714285714286,5.91205386920493,1958.64811377766,1682.69484015539,0.817305577960022,0.0592363520219928,NA,NA,NA,NA,NA
"3",NA,NA,16,2.70801280154532,2146.30467571644,638.106791183286,0.631413029084696,0.101265378115331,"ACTL","w12",280.041751681166,NA,NA
"4",NA,NA,14.3,2.40601099101581,2323.78079436903,449.19819787133,0.525182209005547,0.135193077510039,"ACTS","w12",248.146635325415,NA,NA
"5",NA,NA,14.5,3.56682242650545,2264.95726495727,677.862461960561,0.601126930698073,0.0951531210447398,"AMBL","w12",189.875349716904,NA,NA
"6",NA,NA,15.3,2.75075747143703,2426.34489693313,1042.03660461579,0.577699393124979,0.145676403688677,"AMBS","w12",162.859402950899,NA,NA
"7",NA,NA,14.1,2.37814119756493,1825.03770739065,406.884486916369,0.657782414219959,0.128571686324701,"CTRL","w12",0,NA,NA
"8",NA,NA,9.75,4.19324854180304,238.135812492181,188.058043103587,0.742159068965277,0.091869879920285,"ACTL",NA,NA,"ACT",2326.38915
"9",NA,NA,8.75,4.19324854180304,522.976202929827,332.656617204721,0.658316996572498,0.171588492392364,"ACTL",NA,NA,"AMB",931.3348
"10",NA,NA,8.25,1.5,212.5133197974,140.384589447002,0.661926089156467,0.101022121021324,"ACTS",NA,NA,"ACT",2287.39175
"11",NA,NA,5.75,2.21735578260835,235.529006398704,137.531180998736,0.673159722222222,0.0388249101697784,"ACTS",NA,NA,"AMB",894.85005
"12",NA,NA,8,4.32049379893857,329.147312492392,176.037609257288,0.641125381029227,0.15167673690129,"AMBL",NA,NA,"ACT",1018.08965
"13",NA,NA,9.25,0.5,424.12098464474,93.7216505909918,0.665828574942898,0.0620489665951187,"AMBL",NA,NA,"AMB",1503.18855
"14",NA,NA,7.5,2.38047614284762,290.663244250008,177.985869487653,0.690673470630034,0.0632901332571847,"AMBS",NA,NA,"ACT",1054.97095
"15",NA,NA,9.5,2.38047614284762,254.985648833753,88.322882642989,0.763055555555556,0.0596271853651327,"AMBS",NA,NA,"AMB",1547.64415
